Processo;Superintendencia;Ano_instauracao;Tipologia_processo;Grupo_economico;Servico_telecom;Renuncia;Valor_multa
535000075572014;Superintendencia 1;2014;Outros;Grupo 4;SMP;Sim;20000,00
535000075592014;Superintendencia 1;2014;Outros;Grupo 2;SMP;Sim;1721065,48
535000089532013;Superintendencia 1;2013;Obrigações Legais e Contratuais;Grupo 7;SMP;Sim;373611,27
535000089592016;Superintendencia 2;2019;Obstrução à Fiscalização;Outros;STFC;Não;440,00
535000095922019;Superintendencia 1;2013;Obrigações Legais e Contratuais;Grupo 7;SCM;Não;236,66
535000096242013;Superintendencia 1;2013;Outros;Grupo 6;SEAC;Não;3567,75
535000096362013;Superintendencia 1;2016;Outros;Grupo 3;SMP;Sim;658215,46
535000098372013;Superintendencia 1;2013;Outros;Grupo 3;SEAC;Sim;5349,07
535000098382013;Superintendencia 1;2013;Outros;Grupo 2;SEAC;Não;70317,28
535000101212018;Superintendencia 1;2013;Outros;Grupo 3;SCM;Não;161,89
535000101222016;Superintendencia 1;2013;Obrigações Legais e Contratuais;Outros;SCM;Não;866,03
535000108862014;Superintendencia 1;2014;Bens Reversíveis;Grupo 1;STFC;Não;11531520,00
535000116582015;Superintendencia 1;2014;Outros;Outros;SCM;Não;1074,20
535000116782015;Superintendencia 1;2014;Outros;Outros;SEAC;Sim;13223,33
535000118352014;Superintendencia 1;2014;Outros;Outros;SCM;Não;110,00
535000118482016;Superintendencia 1;2014;Outros;Grupo 3;SCM;Sim;59723,21
535000120972014;Superintendencia 1;2014;Outros;Grupo 3;SMP;Não;5916031,81
535000121592016;Superintendencia 1;2016;Direitos do Consumidor - STFC;Grupo 3;STFC;Sim;13461,02
535000124882018;Superintendencia 1;2014;Outros;Outros;SCM;Sim;139,65
535000126442016;Superintendencia 1;2014;Outros;Outros;SCM;Sim;390,97
535000126552016;Superintendencia 1;2014;Outros;Grupo 1;STFC;Não;25268,13
535000126652014;Superintendencia 2;2014;Certificação e Não Outorgado - Serviço;Outros;STFC;Não;271235,10
535000128972014;Superintendencia 1;2014;Outros;Outros;SEAC;Sim;880,00
535000129042014;Superintendencia 1;2014;Outros;Outros;SCM;Não;2336,96
535000129052014;Superintendencia 1;2014;Direitos do Consumidor - SCM;Outros;SCM;Não;440,00
535000129112014;Superintendencia 1;2014;Direitos do Consumidor - SCM;Outros;SCM;Não;440,00
535000130702014;Superintendencia 1;2014;Bens Reversíveis;Grupo 2;STFC;Não;15860160,00
535000134752016;Superintendencia 1;2014;Interconexão;Grupo 2;STFC;Não;419088,60
535000135242016;Superintendencia 1;2014;Universalização;Grupo 6;STFC;Não;3932,01
535000135342016;Superintendencia 1;2014;Universalização;Grupo 5;STFC;Sim;1000,00
535000136582013;Superintendencia 1;2016;Interconexão;Outros;SCM;Não;3021,42
535000141032016;Superintendencia 1;2014;Outros;Grupo 2;STFC;Não;1600000,00
535000144782016;Superintendencia 1;2016;Interconexão;Grupo 2;STFC;Sim;86235,10
535000147172015;Superintendencia 1;2016;Outros;Grupo 6;SCM;Não;110,00
535000151722016;Superintendencia 1;2014;Interconexão;Grupo 4;STFC;Não;78657,06
535000152952016;Superintendencia 1;2013;Interconexão;Outros;SCM;Não;4478785,45
535000163902015;Superintendencia 1;2015;Bens Reversíveis;Grupo 2;STFC;Sim;73199,98
535000164932015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Grupo 2;SEAC;Sim;1735574,98
535000164992015;Superintendencia 1;2016;Interconexão;Outros;SEAC;Sim;6400,00
535000165002015;Superintendencia 1;2016;Gestão da Qualidade - SeAC;Grupo 1;SEAC;Não;660,00
535000165142015;Superintendencia 1;2016;Gestão da Qualidade - SeAC;Grupo 3;SEAC;Não;29572,98
535000165172015;Superintendencia 1;2016;Interconexão;Outros;SEAC;Não;5777,18
535000166062015;Superintendencia 2;2015;Gestão da Qualidade - SeAC;Outros;SEAC;Sim;11723,44
535000166072015;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;960,00
535000166092015;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;640,00
535000166102015;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Sim;3586,43
535000166122015;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Sim;880,00
535000166192015;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Sim;5000,00
535000166202015;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Sim;440,00
535000166232015;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Sim;43163,32
535000166242015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Grupo 2;SEAC;Não;1920,00
535000166262015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Grupo 2;SEAC;Sim;8000,00
535000166312015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Grupo 2;SEAC;Não;13630,21
535000166322015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Outros;SEAC;Sim;220,00
535000166332015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Outros;SEAC;Sim;5552,01
535000166342015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Outros;SEAC;Sim;6250,00
535000167532015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Outros;SCM;Não;5398,95
535000168062015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Grupo 4;STFC;Sim;2000,00
535000168542016;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Outros;STFC;Não;90383,56
535000169812014;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Grupo 1;SEAC;Não;440,00
535000171752015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Grupo 1;SMP;Sim;5000,00
535000174602016;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Outros;SCM;Sim;1196,28
535000174712016;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Outros;SCM;Sim;2717,75
535000176142018;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Outros;SEAC;Não;26063,45
535000177232013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Grupo 5;STFC;Não;6324,49
535000177882016;Superintendencia 1;2014;Universalização;Grupo 5;STFC;Sim;3000,00
535000179342015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Outros;SCM;Não;440,00
535000181412015;Superintendencia 1;2015;Gestão da Qualidade - SeAC;Grupo 1;SEAC;Não;880,00
535000184692013;Superintendencia 2;2015;Não Outorgado - Serviço;Outros;SMP;Não;1250,00
535000185892013;Superintendencia 1;2014;Outros;Outros;SEAC;Não;36125,14
535000185952013;Superintendencia 1;2013;Obrigações Legais e Contratuais;Grupo 1;STFC;Não;31195,50
535000185962013;Superintendencia 1;2015;Obrigações Legais e Contratuais;Grupo 6;SEAC;Sim;10185,28
535000185972013;Superintendencia 1;2018;Direitos do Consumidor - SCM;Outros;SEAC;Não;2611619,10
535000190932018;Superintendencia 2;2014;Obrigações Legais e Contratuais;Outros;STFC;Sim;2816,87
535000215042016;Superintendencia 1;2016;Outros;Outros;SCM;Sim;460,49
535000222352018;Superintendencia 1;2014;Obrigações Legais e Contratuais;Grupo 3;SMP;Sim;58859,68
535000235302014;Superintendencia 1;2013;Outros;Grupo 1;STFC;Não;57577,63
535000237552016;Superintendencia 1;2013;Interconexão;Outros;STFC;Não;1091,33
535000238352018;Superintendencia 1;2013;Outros;Grupo 2;STFC;Sim;41039,91
535000240082014;Superintendencia 1;2013;Outros;Outros;SCM;Não;3159852,01
535000242962014;Superintendencia 1;2013;Outros;Grupo 2;SMP;Sim;5000,00
535000242972014;Superintendencia 1;2013;Outros;Grupo 4;SMP;Sim;5000,00
535000243612014;Superintendencia 1;2013;Não Outorgado - Serviço e Radiofrequência;Outros;SCM;Não;5345,49
535000243622013;Superintendencia 1;2014;Direitos do Consumidor - STFC;Grupo 3;STFC;Não;2500,00
535000245782014;Superintendencia 1;2013;Outros;Grupo 1;STFC;Não;20000,00
535000256442014;Superintendencia 1;2014;Direitos do Consumidor - SCM;Grupo 6;SMP;Sim;25576,51
